"","Name","Width","Height","Unmasked_Pixels","MeanGcc"
"109","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_114_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335523642577059
"110","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_115_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332496929251333
"111","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_116_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335170379025777
"112","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_117_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33444761486593
"113","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_118_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335475050392767
"114","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_119_1100+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335373131451664
"115","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_120_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335295151427966
"116","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_121_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.336879680159919
"117","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_122_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333247079586675
"118","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_123_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.336280280005618
"119","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_124_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.336332179295358
"120","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_125_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.337186887686001
"121","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_126_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.337493011538053
"122","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_127_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.337731276896678
"123","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_128_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.338626349894974
"124","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_129_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.337158679414204
"125","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_130_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.339881574590951
"126","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_131_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333779308319018
"127","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_132_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.340699742301222
"128","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_133_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.336730814576766
"129","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_134_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.339677608950308
"130","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_135_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.341462457540743
"131","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_136_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.342303048035182
"132","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_137_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.346182178943666
"133","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_138_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.345799565086326
"134","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_139_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.342332076531474
"135","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_140_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.35527998473098
