"","Name","Width","Height","Unmasked_Pixels","MeanRcc"
"102","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_107_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.34324950423612
"103","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_108_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.345067139745984
"104","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_109_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.34223276258149
"105","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_110_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331193925089862
"106","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_111_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.308104332452607
"107","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_112_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329309543682264
"108","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_113_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333446216997979
"109","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_114_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.343542971112643
"110","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_115_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.320856930319459
"111","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_116_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.341930511369549
"112","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_117_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333910030593302
"113","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_118_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.344388187493383
"114","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_119_1100+0900_TKY__y18_d.jpg",2272,1704,1288929,0.344309940885375
"115","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_120_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.341003109333015
"116","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_121_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.345952695531811
"117","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_122_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.324229188586148
"118","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_123_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.351072313650238
"119","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_124_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.351706237100687
"120","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_125_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.355091577040872
"121","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_126_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.356553226340956
